010001|          Consulation médecin ambulatoire                          |01|                          2.66
010002|          CONSULTATION MEDECIN/ HOSPITALISATION                    |01|                         10.00
010003|          Consultation Spéciale (visite directe du médecin)        |01|                         12.00
010004|          Examen  Physique..................................       |01|                          5.85
010005|          Transfert médecin ( ambulatoire )                        |01|                          1.00
010006|          Urgence simple ( Soins infirmiers + médicamants )        |01|                          3.50
010007|          Urgence Soins médecin de garde ( suture , Hosp. )        |01|                          9.35
011001|          Accouchement maternité pax                               |01|                         11.50
012001|          Consultation médecin en urgence(Pax)                     |01|                         10.00
020002|          Frais consultation nouvelle fiche                        |01|                          1.14
020003|          *Frais de consultation ( Ancienne Fiche ) ........       |01|                          0.57
020008|          Abonnement TBC ( un traitement) 8 mois Adulte .(Gr       |01|                          0.57
020009|          Abonnement TBC  6 mois  Enfant .(Gratuit).........       |01|
020010|          Abonnement diabétiques (Glucosurie 3xsemaine             |01|                         24.00
020011|          (non compris les éventuels tests de glycémie sangu       |01|
020012|          Abonnement prenatal ..............................       |01|                          5.00
020015|          Rapport médical ..................................       |01|                         15.60
020024|          Carnet  de consultation ..........................       |01|                          6.50
020025|          Frais administratifs                                     |01|                          0.05
020027|          Embaumement                                              |01|                        200.00
020028|          Document funeraires                                      |01|                         50.00
030001|          FRAIS  D'ADMISSION ...............................       |01|                          1.10
030002|          FRAIS DE SEJOUR                                          |01|
030003|          Salle  commune ...................................       |01|                          1.15
030004|          Chambre Semi-privée ..............................       |01|                          3.50
030005|          Chambre privée ...................................       |01|                          6.85
030006|          Chambre speciale ( voir l' Administration ) ......       |01|                         30.00
030008|          autre echographie                                        |01|                         10.00
030009|          Nourriture ordinaire                                     |01|
030010|          Chambre commune ..................................       |01|                          0.85
030011|          Repas Ordinaire ..................................       |01|                          1.50
030012|          Soins médicaux                                           |01|                          6.10
030013|          Soins médicaux avec urgence                              |01|                          9.75
030014|          Accouchement  vaginal(3 jours d'hospitalisation in       |01|                          2.00
030016|          Fausse  couche .(1 jour d'hospitalisation inclus).       |01|                          0.85
040001|          HEMATOLOGIE ( Catégorie A ) ......................       |01|                          1.30
040002|          Formule  leucocytaire ( F.L. ) ...................       |01|                          1.95
040003|          Electrophorèse  ( Hgb ) ..........................       |01|                          3.90
040004|          Hematocrite ......................................       |01|                          1.30
040005|          consommables labo                                        |01|                          1.00
040006|          Vitesse de sédimentation .........................       |01|                          1.30
040007|          Goutte épaisse ...................................       |01|                          1.30
040008|          Gastroscopie ( rectognoistoscopie ) ..............       |01|                         12.00
040009|          CHIMIE ( Catégorie C ) ...........................       |01|                          4.55
040010|          CULTURE ( Catégorie D) ...........................       |01|                          5.20
040011|          Antibiogramme ( supplement à ajouter au prix ) ...       |01|                          1.95
040012|          Frottis gram .....................................       |01|                          2.60
040013|          Frottis de crachat Ziehl- Neelsen ................       |01|                          0.75
040014|          Frottis Fontana ..................................       |01|                          2.60
040015|          ASO Titre ........................................       |01|                          5.20
040016|          Electrocardiogramme ..............................       |01|                          7.80
040017|          Liquide - cephalo rachidien ......................       |01|                          4.55
040018|          Ponction kyste ...................................       |01|                          1.30
040019|          Sang occulte .....................................       |01|                          1.30
040020|          Scarification pour B.H. ..........................       |01|                          2.93
